patient_key,peak_type,gap_order,curve_idx,x,y,profile_name,peak_height,peak_prominence,peak_width_half_prominence,peak_width_height,left_ips,right_ips,left_base_idx,right_base_idx,prev_peak_idx,next_peak_idx,distance_to_prev_peak_idx,distance_to_next_peak_idx,left_valley_idx,right_valley_idx,left_valley_value,right_valley_value,valley_to_valley_width,height_above_left_valley,height_above_right_valley,height_above_mean_valleys
N_16,gap,7,191,183.42137,715.0042,gap_score_smooth,0.8254427313804626,0.3375711143016815,8.398825208721917,0.6566571742296219,185.80019998351713,194.19902519223905,168,239,174.0,211.0,17.0,20.0,178,202,0.5814820528030396,0.3874247670173645,24,0.2439606785774231,0.43801796436309814,0.3409893214702606
N_16,gap,8,211,184.79126,774.58575,gap_score_smooth,0.8234720826148987,0.4360473155975342,8.867587641778869,0.6054484248161316,206.65448055719233,215.5220681989712,202,239,191.0,231.0,20.0,20.0,202,224,0.3874247670173645,0.3299829363822937,22,0.4360473155975342,0.493489146232605,0.4647682309150696
N_16,gap,9,231,187.73001,834.16736,gap_score_smooth,0.6525431275367737,0.32256019115448,6.2175265263992685,0.4912630319595337,227.88954368999816,234.10707021639743,224,239,211.0,,20.0,0.0,224,239,0.3299829363822937,0.09764730930328369,15,0.32256019115448,0.55489581823349,0.438728004693985
N_17,gap,1,59,97.468994,340.92468,gap_score_smooth,0.9059964418411255,0.08870035409927368,10.158893887378298,0.8616462647914886,55.04156384165512,65.20045772903342,0,70,,93.0,0.0,34.0,52,70,0.8259627223014832,0.8172960877418518,18,0.08003371953964233,0.08870035409927368,0.08436703681945801
N_17,gap,2,93,96.44477,446.3389,gap_score_smooth,0.9218505024909973,0.19214850664138794,25.209976406022847,0.8257762491703033,71.19081723975506,96.40079364577791,0,104,59.0,125.0,34.0,32.0,82,104,0.8474558591842651,0.7297019958496094,22,0.07439464330673218,0.19214850664138794,0.13327157497406006
N_17,gap,3,125,87.04613,545.5523,gap_score_smooth,0.9941311478614807,0.8778305575251579,190.73490197864578,0.5552158690989017,5.832407295160915,196.5673092738067,0,239,93.0,184.0,32.0,59.0,104,134,0.7297019958496094,0.965415358543396,30,0.26442915201187134,0.028715789318084717,0.14657247066497803
N_17,gap,4,184,85.43869,728.477,gap_score_smooth,0.8519158959388733,0.05775326490402222,13.56877561546446,0.8230392634868622,178.81955714168362,192.38833275714808,173,239,125.0,212.0,59.0,28.0,173,189,0.7941626310348511,0.8269078731536865,16,0.05775326490402222,0.025008022785186768,0.04138064384460449
N_17,gap,5,212,86.752716,815.2887,gap_score_smooth,0.7919028997421265,0.46310946345329285,25.74036546561078,0.56034816801548,208.02250787255397,233.76287333816475,202,239,184.0,,28.0,0.0,202,239,0.3287934362888336,0.11630059033632278,37,0.46310946345329285,0.6756023094058037,0.5693558864295483
N_18,gap,1,43,114.929276,289.7322,gap_score_smooth,0.8824617862701416,0.11515498161315918,19.319498789833517,0.824884295463562,35.872100489605906,55.19159927943942,0,64,,78.0,0.0,35.0,34,51,0.8179004788398743,0.8356793522834778,17,0.06456130743026733,0.04678243398666382,0.055671870708465576
N_18,gap,2,78,110.48705,408.35147,gap_score_smooth,0.8939181566238403,0.130645751953125,14.01381431418831,0.8285952806472778,72.67908531795452,86.69289963214283,0,93,43.0,103.0,35.0,25.0,70,93,0.8036547303199768,0.7632724046707153,23,0.09026342630386353,0.130645751953125,0.11045458912849426
N_18,gap,3,103,111.428795,493.0795,gap_score_smooth,0.9039496779441833,0.3654593229293823,99.866229612399,0.7212200164794922,6.436755557698799,106.3029851700978,0,111,78.0,121.0,25.0,18.0,93,111,0.7632724046707153,0.538490355014801,18,0.14067727327346802,0.3654593229293823,0.25306829810142517
N_18,gap,4,121,110.916275,554.0837,gap_score_smooth,0.9458087086677551,0.18252980709075928,5.624781653936836,0.8545438051223755,118.00352161406813,123.62830326800497,0,127,103.0,139.0,18.0,18.0,111,127,0.538490355014801,0.7632789015769958,16,0.4073183536529541,0.18252980709075928,0.2949240803718567
N_18,gap,5,139,107.18918,615.0879,gap_score_smooth,0.9937878847122192,0.8466697633266449,79.10199969212026,0.5704530030488968,114.16742500745495,193.2694246995752,0,220,121.0,206.0,18.0,67.0,127,145,0.7632789015769958,0.9853047132492065,18,0.2305089831352234,0.008483171463012695,0.11949607729911804
N_18,gap,6,206,91.66846,842.159,gap_score_smooth,0.9015945196151733,0.353344202041626,9.883711069311659,0.7249224185943604,201.27834644776524,211.1620575170769,197,220,139.0,231.0,67.0,25.0,197,220,0.5482503175735474,0.028069820255041122,23,0.353344202041626,0.8735246993601322,0.6134344507008791
N_18,gap,7,231,88.18934,926.887,gap_score_smooth,0.7153279781341553,0.5686578005552292,10.347445726698368,0.4309990778565407,225.26145478776422,235.6089005144626,220,239,206.0,,25.0,0.0,220,239,0.028069820255041122,0.1466701775789261,19,0.6872581578791142,0.5686578005552292,0.6279579792171717
N_19,gap,1,9,137.02342,167.37239,gap_score_smooth,0.7693303227424622,0.03623700141906738,5.4696140588602224,0.7512118220329285,7.348987452599872,12.818601511460095,0,16,,69.0,0.0,60.0,0,16,0.18598876893520355,0.7330933213233948,16,0.5833415538072586,0.03623700141906738,0.309789277613163
N_19,gap,2,69,132.12305,363.1883,gap_score_smooth,0.9187684059143066,0.25505590438842773,55.38890094234047,0.7912404537200928,25.182194672474452,80.57109561481492,0,87,9.0,100.0,60.0,31.0,56,87,0.8410858511924744,0.6637125015258789,31,0.07768255472183228,0.25505590438842773,0.16636922955513
N_19,gap,3,100,128.16011,464.35983,gap_score_smooth,0.9333867430686951,0.7473979741334915,162.24422097063217,0.5596877560019493,4.426015436877355,166.67023640750952,0,239,69.0,116.0,31.0,16.0,87,109,0.6637125015258789,0.7292084097862244,22,0.26967424154281616,0.2041783332824707,0.23692628741264343
N_19,gap,4,116,126.93427,516.5774,gap_score_smooth,0.7856559157371521,0.056447505950927734,3.2846705283851207,0.7574321627616882,113.59327912517486,116.87794965355998,109,122,100.0,130.0,16.0,14.0,109,122,0.7292084097862244,0.5913614630699158,13,0.056447505950927734,0.19429445266723633,0.12537097930908203
N_19,gap,5,130,127.197136,562.26776,gap_score_smooth,0.8515069484710693,0.13008040189743042,3.759569475251226,0.7864667475223541,128.45803765909136,132.2176071343426,122,136,116.0,144.0,14.0,14.0,122,136,0.5913614630699158,0.7214265465736389,14,0.26014548540115356,0.13008040189743042,0.195112943649292
N_19,gap,6,144,122.03928,607.9581,gap_score_smooth,0.906548023223877,0.3151865601539612,7.245752123714084,0.7489547431468964,140.1844400024522,147.43019212616628,122,239,130.0,160.0,14.0,16.0,136,154,0.7214265465736389,0.6459108591079712,18,0.18512147665023804,0.26063716411590576,0.2228793203830719
N_19,gap,7,160,121.00927,660.1757,gap_score_smooth,0.8615217804908752,0.21561092138290405,5.621179888892584,0.7537163197994232,157.1826416663968,162.80382155528937,154,185,144.0,178.0,16.0,18.0,154,171,0.6459108591079712,0.532607913017273,17,0.21561092138290405,0.3289138674736023,0.2722623944282532
N_19,gap,8,178,115.31047,718.92053,gap_score_smooth,0.7712768316268921,0.23866891860961914,6.622420459702624,0.6519423723220825,174.32741278519234,180.94983324489496,171,185,160.0,196.0,18.0,18.0,171,185,0.532607913017273,0.5069426894187927,14,0.23866891860961914,0.26433414220809937,0.25150153040885925
N_19,gap,9,196,107.48692,777.6653,gap_score_smooth,0.873461902141571,0.3665192127227783,8.04854242157495,0.6902022957801819,191.83570727904427,199.88424970061922,185,239,178.0,213.0,18.0,17.0,185,206,0.5069426894187927,0.5512059926986694,21,0.3665192127227783,0.3222559094429016,0.34438756108283997
N_19,gap,10,213,98.78917,833.1464,gap_score_smooth,0.8008246421813965,0.24961864948272705,5.732866196425562,0.676015317440033,209.76903561365705,215.50190181008261,206,239,196.0,230.0,17.0,17.0,206,223,0.5512059926986694,0.4943252205848694,17,0.24961864948272705,0.3064994215965271,0.2780590355396271
N_19,gap,11,230,90.28238,888.6276,gap_score_smooth,0.7265325784683228,0.23220735788345337,6.35114084345156,0.6104288995265961,226.2308977197099,232.58203856316146,223,239,213.0,,17.0,0.0,223,239,0.4943252205848694,0.08502588421106339,16,0.23220735788345337,0.6415066942572594,0.43685702607035637
N_1,gap,1,8,127.2766,126.61507,gap_score_smooth,0.7231391668319702,0.24070602655410767,7.533094371358428,0.6027861535549164,4.980542797917827,12.513637169276254,0,27,,46.0,0.0,38.0,0,15,0.17720402777194977,0.5642452836036682,15,0.5459351390600204,0.158893883228302,0.3524145111441612
N_1,gap,2,46,129.28313,257.78662,gap_score_smooth,0.9064571261405945,0.041121840476989746,5.731428105389234,0.8858962059020996,43.43784153604603,49.169269641435264,0,53,8.0,62.0,38.0,16.0,27,53,0.48243314027786255,0.8653352856636047,26,0.42402398586273193,0.041121840476989746,0.23257291316986084
N_1,gap,3,62,137.66089,313.01672,gap_score_smooth,0.9247027635574341,0.10616642236709595,19.427267416998035,0.8716195523738861,54.279096932795,73.70636434979303,0,82,46.0,94.0,16.0,32.0,53,82,0.8653352856636047,0.8185363411903381,29,0.059367477893829346,0.10616642236709595,0.08276695013046265
N_1,gap,4,94,141.40808,423.477,gap_score_smooth,0.9378067255020142,0.3532712459564209,69.31848035810663,0.7611711025238037,35.003623518839404,104.32210387694603,0,134,62.0,113.0,32.0,19.0,82,109,0.8185363411903381,0.7306549549102783,27,0.11927038431167603,0.20715177059173584,0.16321107745170593
N_1,gap,5,113,142.28508,489.06277,gap_score_smooth,0.783150315284729,0.052495360374450684,3.533119475945284,0.7569026350975037,111.60980444365552,115.1429239196008,109,118,94.0,127.0,19.0,14.0,109,118,0.7306549549102783,0.7049737572669983,9,0.052495360374450684,0.07817655801773071,0.0653359591960907
N_1,gap,6,127,142.76878,537.3891,gap_score_smooth,0.9014184474945068,0.19644469022750854,4.6611894172219905,0.8031961023807526,124.12765227416212,128.7888416913841,118,134,113.0,143.0,14.0,16.0,118,134,0.7049737572669983,0.5845354795455933,16,0.19644469022750854,0.3168829679489136,0.25666382908821106
